ASTEROID_NUMBER,PROVISIONAL_ID,PROPER_A,PROPER_ECC,SINE_PROPER_INCL,FAMILY_NAME,CLUMP_FLAG,CONFIDENCE_LEVEL
2142,---,3.17378,0.1343,0.0180,Themis,F,3
2143,---,2.28076,0.1944,0.1297,---,-,9
2144,---,2.87558,0.0456,0.0368,Koronis,F,3
2145,---,3.21786,0.1047,0.2815,---,-,9
2147,---,3.17137,0.0632,0.1607,Veritas,F,3
2149,---,2.54966,0.0916,0.1187,---,-,9
2151,---,2.56192,0.0903,0.2612,Maria,F,3
2152,---,3.13437,0.1963,0.2512,Meliboea,F,3
2153,---,3.11686,0.1529,0.0185,Themis,F,3
2154,---,2.63545,0.1495,0.1375,---,-,9
2155,---,2.85627,0.0442,0.0376,Koronis,F,3
2156,---,2.24240,0.1695,0.0820,Flora,F,1
2157,---,2.78357,0.1292,0.1598,Ceres,F,3
2158,---,3.07275,0.1754,0.0351,---,-,9
2159,---,2.48271,0.0449,0.0606,---,-,9
2160,---,2.89856,0.0666,0.0358,Koronis,F,3
2161,---,2.74819,0.1209,0.1120,---,-,9
2162,---,2.22730,0.1260,0.0508,Flora,F,2
2163,---,3.14893,0.1527,0.0242,Themis,F,3
2164,---,3.17553,0.1349,0.0258,Themis,F,3
2165,---,3.13370,0.1428,0.0251,Themis,F,3
2166,---,2.34652,0.1882,0.0875,---,-,9
2167,---,2.54239,0.2294,0.1250,---,-,9
2168,---,2.45195,0.1270,0.0936,---,-,9
2169,---,2.78865,0.0477,0.0120,Astrid,F,3
2170,---,2.40446,0.1475,0.0542,Nysa,F,1
2171,---,2.25559,0.1395,0.1146,Flora,F,1
2172,---,2.89621,0.1192,0.0365,---,-,9
2173,---,3.13374,0.1095,0.2415,---,-,9
2174,---,2.53729,0.2207,0.1361,---,-,9
2175,---,2.21566,0.1612,0.0748,Flora,F,1
2176,---,2.93144,0.0686,0.0328,Koronis,F,2
2177,---,3.18644,0.0971,0.0197,---,-,9
2178,---,2.20771,0.1074,0.0439,---,-,9
2179,---,3.01148,0.0815,0.1809,Eos,F,3
2180,---,3.01141,0.0612,0.1761,Eos,F,3
2181,---,2.59059,0.1566,0.2218,Eunomia,F,3
2182,---,3.12993,0.1524,0.0298,Themis,F,3
2184,---,3.17605,0.0760,0.1105,---,-,9
2185,---,2.70896,0.1394,0.1541,---,-,9
2186,---,2.68089,0.0832,0.0592,---,-,9
2187,---,2.53593,0.0739,0.2174,---,-,9
2188,---,2.90243,0.0594,0.0345,Koronis,F,3
2189,---,2.40325,0.1686,0.2232,---,-,9
2190,---,2.47187,0.1089,0.0314,---,-,9
2191,---,3.01814,0.0775,0.1732,Eos,F,3
2192,---,3.13669,0.0605,0.1755,---,-,9
2193,---,3.10788,0.0860,0.1925,---,-,9
2194,---,2.32783,0.0885,0.1378,---,-,9
2195,---,2.22178,0.0954,0.0728,---,-,9
2197,---,3.15174,0.1411,0.0319,Themis,F,3
2198,---,2.59297,0.1712,0.0744,Ceplecha,C,0
2199,---,2.24138,0.1557,0.1348,---,-,9
