asteroid number,asteroid name,wavelength,reflectance,uncertainty
1086,nata,0.7495,0.90572,0.01026
1086,nata,0.7519,0.90758,0.01005
1086,nata,0.7544,0.90996,0.01025
1086,nata,0.7569,0.90033,0.01028
1086,nata,0.7594,0.90731,0.01098
1086,nata,0.7619,0.88478,0.01147
1086,nata,0.7644,0.90804,0.01097
1086,nata,0.7669,0.9336,0.01038
1086,nata,0.7695,0.91942,0.01
1086,nata,0.7721,0.92598,0.00973
1086,nata,0.7746,0.93419,0.00983
1086,nata,0.7773,0.92128,0.00945
1086,nata,0.7799,0.91948,0.00953
1086,nata,0.7825,0.93089,0.00948
1086,nata,0.7852,0.91888,0.00945
1086,nata,0.7879,0.94411,0.00949
1086,nata,0.7906,0.9416,0.00956
1086,nata,0.7933,0.9253,0.00931
1086,nata,0.796,0.93001,0.00948
1086,nata,0.7988,0.92295,0.00936
1086,nata,0.8016,0.93354,0.0095
1086,nata,0.8044,0.94092,0.00941
1086,nata,0.8072,0.93319,0.00939
1086,nata,0.81,0.92797,0.00923
1086,nata,0.8129,0.93006,0.00928
1086,nata,0.8158,0.94108,0.00937
1086,nata,0.8187,0.9398,0.00931
1086,nata,0.8216,0.94196,0.00925
1086,nata,0.8245,0.94351,0.00936
1086,nata,0.8275,0.93926,0.0092
1086,nata,0.8305,0.96543,0.00941
1086,nata,0.8335,0.94336,0.00918
1086,nata,0.8365,0.96007,0.00929
1086,nata,0.8395,0.94492,0.00914
1086,nata,0.8426,0.9641,0.00932
1086,nata,0.8456,0.96436,0.00919
1086,nata,0.8487,0.95301,0.00913
1086,nata,0.8518,0.95111,0.00905
1086,nata,0.855,0.95519,0.0091
1086,nata,0.8581,0.94689,0.00899
1086,nata,0.8613,0.95262,0.00907
1086,nata,0.8645,0.95119,0.00896
1086,nata,0.8677,0.9503,0.00904
1086,nata,0.8709,0.9533,0.00891
1086,nata,0.8742,0.95852,0.00893
1086,nata,0.8774,0.95582,0.00892
1086,nata,0.8807,0.95289,0.00893
1086,nata,0.884,0.95293,0.00888
1086,nata,0.8874,0.96486,0.00896
1086,nata,0.8907,0.93681,0.00875
1086,nata,0.8941,0.95996,0.00891
1086,nata,0.8974,0.95644,0.00885
1086,nata,0.9008,0.95988,0.00892
1086,nata,0.9043,0.95699,0.00881
1086,nata,0.9077,0.96471,0.00889
1086,nata,0.9111,0.98755,0.00906
1086,nata,0.9146,0.96811,0.00901
1086,nata,0.9181,0.96062,0.00879
1086,nata,0.9216,0.95827,0.00883
1086,nata,0.9251,0.95868,0.00879
1086,nata,0.9287,0.96574,0.00904
1086,nata,0.9322,0.95054,0.00909
1086,nata,0.9358,0.96344,0.0093
1086,nata,0.9394,0.95288,0.00917
1086,nata,0.943,0.96053,0.00916
1086,nata,0.9466,0.96814,0.00909
1086,nata,0.9503,0.96331,0.00904
1086,nata,0.9539,0.96176,0.00885
1086,nata,0.9576,0.96885,0.00887
1086,nata,0.9613,0.97959,0.00885
1086,nata,0.965,0.96303,0.00872
1086,nata,0.9687,0.97713,0.0087
1086,nata,0.9725,0.97829,0.00871
1086,nata,0.9762,0.963,0.00855
1086,nata,0.98,0.97454,0.00862
1086,nata,0.9838,0.97948,0.00859
1086,nata,0.9876,0.96859,0.00856
1086,nata,0.9914,0.97438,0.00863
1086,nata,0.9952,0.97148,0.0086
1086,nata,0.999,0.96752,0.00856
1086,nata,1.0029,0.98439,0.00864
1086,nata,1.0068,0.97545,0.00857
1086,nata,1.0107,0.97302,0.00856
1086,nata,1.0145,0.9823,0.00859
1086,nata,1.0185,0.97294,0.00856
1086,nata,1.0224,0.97305,0.00857
1086,nata,1.0263,0.98941,0.00867
1086,nata,1.0302,0.98516,0.00862
