asteroid number,asteroid name,wavelength,reflectance,uncertainty
56,melete,1.6926,0.99576,0.00890
56,melete,1.6966,1.00914,0.01088
56,melete,1.7005,1.00566,0.01138
56,melete,1.7045,1.00189,0.01077
56,melete,1.7084,0.99642,0.00939
56,melete,1.7124,1.00971,0.01074
56,melete,1.7163,0.99472,0.00957
56,melete,1.7202,1.01876,0.00989
56,melete,1.7241,1.00707,0.01138
56,melete,1.7280,1.01423,0.01069
56,melete,1.7319,1.00396,0.01043
56,melete,1.7358,1.01499,0.01001
56,melete,1.7397,1.00028,0.00993
56,melete,1.7436,1.01489,0.01083
56,melete,1.7475,0.99840,0.01033
56,melete,1.7513,1.01885,0.01071
56,melete,1.7552,1.00358,0.01107
56,melete,1.7590,1.02102,0.01174
56,melete,1.7629,1.00339,0.01036
56,melete,1.7667,1.01791,0.00995
56,melete,1.7705,1.01141,0.01155
56,melete,1.7744,1.02573,0.01183
56,melete,1.7782,1.00198,0.01085
56,melete,1.7820,1.03035,0.01293
56,melete,1.7858,1.01876,0.01165
56,melete,1.7896,1.02140,0.01491
56,melete,1.7934,1.00302,0.01136
56,melete,1.7971,1.02969,0.01300
56,melete,1.8009,1.00924,0.01364
56,melete,1.8047,1.01621,0.01084
56,melete,1.8084,1.01678,0.01218
56,melete,1.8122,1.02498,0.01267
56,melete,1.8159,1.01763,0.01092
56,melete,1.8196,1.02715,0.01040
56,melete,1.8234,1.00773,0.01237
56,melete,1.8271,1.02404,0.01116
56,melete,1.8308,1.00848,0.01207
56,melete,1.8345,1.02366,0.01354
56,melete,1.8382,1.03177,0.01171
56,melete,1.8419,1.04770,0.01170
56,melete,1.8456,1.02856,0.00919
56,melete,1.8492,1.04392,0.01076
56,melete,1.8529,1.02470,0.01138
56,melete,1.8566,1.04147,0.01040
56,melete,1.8602,1.03158,0.00951
56,melete,1.8639,1.03488,0.01195
56,melete,1.8675,1.03195,0.01171
56,melete,1.8711,1.04223,0.01259
56,melete,1.8747,1.03544,0.01017
56,melete,1.8784,1.03808,0.00986
56,melete,1.8820,1.01744,0.01226
56,melete,1.8856,1.03987,0.01416
56,melete,1.8892,1.03497,0.01398
56,melete,1.8927,1.04374,0.01140
56,melete,1.8963,1.03148,0.01029
56,melete,1.8999,1.05514,0.01145
56,melete,1.9034,1.02620,0.01146
56,melete,1.9070,1.05580,0.01204
56,melete,1.9105,1.02894,0.01292
56,melete,1.9141,1.04213,0.01183
56,melete,1.9176,1.04270,0.01532
56,melete,1.9211,1.03563,0.01195
56,melete,1.9246,1.02027,0.01189
56,melete,1.9281,1.04572,0.01283
56,melete,1.9316,1.03252,0.01070
56,melete,1.9351,1.04845,0.01308
56,melete,1.9386,1.04204,0.01205
56,melete,1.9421,1.04647,0.01253
56,melete,1.9455,1.02988,0.01148
56,melete,1.9490,1.03667,0.01211
56,melete,1.9525,1.03139,0.01397
56,melete,1.9559,1.04317,0.01321
56,melete,1.9593,1.03865,0.01087
56,melete,1.9628,1.05081,0.01224
56,melete,1.9662,1.02837,0.01184
56,melete,1.9696,1.04063,0.01376
56,melete,1.9730,1.03365,0.01217
56,melete,1.9764,1.05165,0.01158
56,melete,1.9798,1.03846,0.01226
56,melete,1.9832,1.06023,0.01289
56,melete,1.9866,1.03412,0.01135
56,melete,1.9899,1.05175,0.01309
56,melete,1.9933,1.04704,0.01331
56,melete,1.9967,1.05316,0.01271
56,melete,2.0000,1.03657,0.01241
56,melete,2.0033,1.05184,0.01217
56,melete,2.0067,1.04166,0.01040
56,melete,2.0100,1.04920,0.01193
56,melete,2.0133,1.03422,0.01157
56,melete,2.0166,1.04515,0.01214
56,melete,2.0199,1.04147,0.01297
56,melete,2.0232,1.04713,0.01427
56,melete,2.0265,1.04421,0.01369
56,melete,2.0298,1.05326,0.01309
56,melete,2.0331,1.03959,0.01088
56,melete,2.0364,1.04986,0.01355
56,melete,2.0396,1.04845,0.01300
56,melete,2.0429,1.06221,0.01170
56,melete,2.0461,1.03686,0.01059
56,melete,2.0494,1.05326,0.01255
56,melete,2.0526,1.05288,0.01302
56,melete,2.0558,1.03440,0.01165
56,melete,2.0590,1.03714,0.01218
56,melete,2.0623,1.05448,0.01365
56,melete,2.0655,1.03591,0.01358
56,melete,2.0687,1.04779,0.01371
56,melete,2.0719,1.03902,0.01227
56,melete,2.0750,1.05194,0.01364
56,melete,2.0782,1.04185,0.01220
56,melete,2.0814,1.04619,0.01299
56,melete,2.0846,1.05335,0.01357
56,melete,2.0877,1.05722,0.01272
56,melete,2.0909,1.04883,0.01238
56,melete,2.0940,1.06334,0.01199
56,melete,2.0972,1.04685,0.01276
56,melete,2.1003,1.06117,0.01344
56,melete,2.1034,1.04694,0.01276
56,melete,2.1066,1.06306,0.01384
56,melete,2.1097,1.05948,0.01335
56,melete,2.1128,1.06165,0.01513
56,melete,2.1159,1.04506,0.01330
56,melete,2.1190,1.05957,0.01455
56,melete,2.1221,1.04892,0.01371
56,melete,2.1252,1.06033,0.01431
56,melete,2.1283,1.05599,0.01398
56,melete,2.1313,1.05024,0.01301
56,melete,2.1344,1.05335,0.01341
56,melete,2.1375,1.06080,0.01391
56,melete,2.1405,1.04600,0.01252
56,melete,2.1436,1.05495,0.01397
56,melete,2.1466,1.05891,0.01265
56,melete,2.1497,1.06193,0.01305
56,melete,2.1527,1.04675,0.01215
56,melete,2.1558,1.06325,0.01424
56,melete,2.1588,1.04477,0.01450
56,melete,2.1618,1.05872,0.01471
56,melete,2.1648,1.04562,0.01275
56,melete,2.1678,1.05844,0.01304
