WAVELENGTH,REFLECTANCE,UNCERTAINTY,family
1.7390,1.01523,0.00188,elektra
1.7428,1.02049,0.00189,elektra
1.7465,1.01645,0.00187,elektra
1.7503,1.02044,0.00187,elektra
1.7541,1.01521,0.00188,elektra
1.7579,1.02271,0.00193,elektra
1.7616,1.01712,0.00193,elektra
1.7654,1.02440,0.00196,elektra
1.7691,1.01851,0.00196,elektra
1.7729,1.02504,0.00198,elektra
1.7766,1.01823,0.00195,elektra
1.7803,1.02524,0.00196,elektra
1.7840,1.01812,0.00196,elektra
1.7878,1.02671,0.00198,elektra
1.7915,1.02184,0.00204,elektra
1.7952,1.02741,0.00208,elektra
1.7989,1.02296,0.00210,elektra
1.8026,1.02898,0.00216,elektra
1.8062,1.02690,0.00220,elektra
1.8099,1.02620,0.00225,elektra
1.8136,1.02247,0.00226,elektra
1.8173,1.02570,0.00233,elektra
1.8209,1.01768,0.00236,elektra
1.8246,1.02370,0.00241,elektra
1.8282,1.01740,0.00249,elektra
1.8319,1.02869,0.00264,elektra
1.8355,1.02519,0.00274,elektra
1.8392,1.01595,0.00286,elektra
1.8428,1.01363,0.00296,elektra
1.8464,1.01722,0.00299,elektra
1.8500,1.02384,0.00298,elektra
1.8536,1.03407,0.00296,elektra
1.8572,1.01503,0.00283,elektra
1.8608,1.03768,0.00290,elektra
1.8644,1.01470,0.00300,elektra
1.8680,1.02627,0.00320,elektra
1.8716,1.03421,0.00322,elektra
1.8752,1.02357,0.00317,elektra
1.8787,1.01726,0.00299,elektra
1.8823,1.03592,0.00282,elektra
1.8859,1.03933,0.00260,elektra
1.8894,1.03800,0.00256,elektra
1.8930,1.02175,0.00258,elektra
1.8965,1.03051,0.00273,elektra
1.9001,1.02407,0.00279,elektra
1.9036,1.03329,0.00285,elektra
1.9071,1.00929,0.00286,elektra
1.9106,1.02936,0.00287,elektra
1.9142,1.02525,0.00278,elektra
1.9177,1.03954,0.00278,elektra
1.9212,1.02225,0.00267,elektra
1.9247,1.03652,0.00264,elektra
1.9282,1.02870,0.00257,elektra
1.9317,1.03399,0.00252,elektra
1.9351,1.02578,0.00245,elektra
1.9386,1.03282,0.00241,elektra
1.9421,1.02960,0.00239,elektra
1.9456,1.02979,0.00244,elektra
1.9490,1.02617,0.00246,elektra
1.9525,1.03390,0.00253,elektra
1.9560,1.03351,0.00255,elektra
1.9594,1.02896,0.00257,elektra
1.9629,1.02846,0.00253,elektra
1.9663,1.03720,0.00250,elektra
1.9697,1.03525,0.00243,elektra
1.9732,1.03533,0.00238,elektra
1.9766,1.03083,0.00230,elektra
1.9800,1.03819,0.00226,elektra
1.9834,1.03316,0.00221,elektra
1.9869,1.03671,0.00220,elektra
1.9903,1.03982,0.00226,elektra
1.9937,1.04477,0.00244,elektra
1.9971,1.04444,0.00262,elektra
2.0005,1.05007,0.00282,elektra
2.0039,1.03596,0.00299,elektra
2.0072,1.01915,0.00313,elektra
2.0106,1.02012,0.00303,elektra
2.0140,1.04005,0.00283,elektra
2.0174,1.04139,0.00272,elektra
2.0208,1.04384,0.00266,elektra
2.0241,1.03931,0.00254,elektra
2.0275,1.04626,0.00248,elektra
2.0308,1.04166,0.00241,elektra
2.0342,1.04521,0.00244,elektra
2.0375,1.04011,0.00239,elektra
2.0409,1.04283,0.00239,elektra
2.0442,1.03695,0.00243,elektra
2.0475,1.04286,0.00254,elektra
2.0509,1.03888,0.00254,elektra
2.0542,1.04041,0.00257,elektra
2.0575,1.03344,0.00258,elektra
2.0608,1.03880,0.00258,elektra
2.0641,1.03773,0.00257,elektra
2.0674,1.04277,0.00251,elektra
2.0707,1.03734,0.00246,elektra
2.0740,1.04262,0.00244,elektra
2.0773,1.04118,0.00241,elektra
2.0806,1.04281,0.00240,elektra
2.0839,1.03874,0.00235,elektra
2.0871,1.04208,0.00236,elektra
2.0904,1.03909,0.00235,elektra
2.0937,1.04117,0.00236,elektra
2.0969,1.03907,0.00235,elektra
2.1002,1.04159,0.00236,elektra
2.1035,1.03861,0.00236,elektra
2.1067,1.04703,0.00241,elektra
2.1099,1.03957,0.00241,elektra
2.1132,1.04801,0.00245,elektra
2.1164,1.04032,0.00244,elektra
2.1197,1.04421,0.00245,elektra
2.1229,1.04092,0.00245,elektra
2.1261,1.04214,0.00246,elektra
2.1293,1.03809,0.00241,elektra
2.1325,1.04512,0.00242,elektra
2.1357,1.04210,0.00240,elektra
2.1389,1.04271,0.00239,elektra
2.1421,1.03571,0.00242,elektra
2.1453,1.04279,0.00250,elektra
2.1485,1.04108,0.00252,elektra
2.1517,1.04506,0.00257,elektra
2.1549,1.03955,0.00257,elektra
2.1581,1.04314,0.00258,elektra
2.1612,1.04237,0.00253,elektra
2.1644,1.04043,0.00251,elektra
2.1676,1.03822,0.00248,elektra
2.1707,1.04229,0.00252,elektra
2.1739,1.03970,0.00256,elektra
2.1770,1.04640,0.00258,elektra
2.1802,1.04372,0.00257,elektra
2.1833,1.04794,0.00260,elektra
2.1864,1.04268,0.00258,elektra
2.1896,1.04279,0.00263,elektra
2.1927,1.04291,0.00262,elektra
2.1958,1.04527,0.00265,elektra
2.1989,1.04261,0.00266,elektra
2.2020,1.04521,0.00269,elektra
2.2051,1.04577,0.00269,elektra
2.2082,1.04494,0.00269,elektra
2.2113,1.04271,0.00276,elektra
2.2144,1.04680,0.00266,elektra
2.2175,1.04287,0.00265,elektra
2.2206,1.04370,0.00266,elektra
2.2236,1.04448,0.00265,elektra
2.2267,1.04496,0.00269,elektra
2.2298,1.04078,0.00269,elektra
2.2328,1.04380,0.00271,elektra
2.2359,1.04394,0.00270,elektra
2.2389,1.05093,0.00273,elektra
2.2420,1.04347,0.00270,elektra
2.2450,1.04511,0.00270,elektra
2.2480,1.04263,0.00272,elektra
