asteroid number,asteroid name,wavelength,reflectance,uncertainty
192,nausikaa,1.6093,1.03569,0.00218
192,nausikaa,1.6133,1.01524,0.00215
192,nausikaa,1.6173,1.02070,0.00217
192,nausikaa,1.6213,1.00361,0.00212
192,nausikaa,1.6253,1.03317,0.00217
192,nausikaa,1.6292,1.01709,0.00213
192,nausikaa,1.6332,1.03290,0.00218
192,nausikaa,1.6372,1.01295,0.00214
192,nausikaa,1.6411,1.02619,0.00217
192,nausikaa,1.6451,1.02679,0.00219
192,nausikaa,1.6490,1.01956,0.00220
192,nausikaa,1.6530,1.00184,0.00217
192,nausikaa,1.6569,1.02117,0.00237
192,nausikaa,1.6608,1.02077,0.00234
192,nausikaa,1.6648,1.02060,0.00223
192,nausikaa,1.6687,1.00723,0.00218
192,nausikaa,1.6726,1.01288,0.00222
192,nausikaa,1.6765,1.00193,0.00221
192,nausikaa,1.6804,1.02286,0.00226
192,nausikaa,1.6843,1.01563,0.00224
192,nausikaa,1.6882,1.01427,0.00225
192,nausikaa,1.6921,1.00538,0.00221
192,nausikaa,1.6959,1.02085,0.00225
192,nausikaa,1.6998,1.01910,0.00225
192,nausikaa,1.7037,1.02137,0.00226
192,nausikaa,1.7075,0.99558,0.00222
192,nausikaa,1.7113,1.01033,0.00226
192,nausikaa,1.7152,1.01467,0.00225
192,nausikaa,1.7190,1.01574,0.00227
192,nausikaa,1.7228,1.00850,0.00227
192,nausikaa,1.7267,1.02521,0.00232
192,nausikaa,1.7305,1.01449,0.00231
192,nausikaa,1.7343,1.01213,0.00231
192,nausikaa,1.7381,1.00153,0.00230
192,nausikaa,1.7419,1.01236,0.00236
192,nausikaa,1.7456,1.00502,0.00233
192,nausikaa,1.7494,1.02034,0.00237
192,nausikaa,1.7532,1.00712,0.00233
192,nausikaa,1.7570,1.00945,0.00237
192,nausikaa,1.7607,0.99448,0.00234
192,nausikaa,1.7645,1.00829,0.00238
192,nausikaa,1.7682,0.98972,0.00234
192,nausikaa,1.7720,0.99723,0.00239
192,nausikaa,1.7757,0.99353,0.00239
192,nausikaa,1.7794,1.01102,0.00247
192,nausikaa,1.7832,1.00190,0.00246
192,nausikaa,1.7869,1.01282,0.00251
192,nausikaa,1.7906,1.00431,0.00249
192,nausikaa,1.7943,1.01411,0.00254
192,nausikaa,1.7980,0.99707,0.00256
192,nausikaa,1.8017,1.01020,0.00268
192,nausikaa,1.8054,1.00546,0.00274
192,nausikaa,1.8127,1.00881,0.00293
192,nausikaa,1.8164,1.01190,0.00307
192,nausikaa,1.8201,1.01293,0.00323
192,nausikaa,1.8347,1.00831,0.00474
192,nausikaa,1.8383,1.01405,0.00454
192,nausikaa,1.8492,1.01031,0.00500
192,nausikaa,1.8528,0.99753,0.00488
192,nausikaa,1.8564,1.00266,0.00478
192,nausikaa,1.8707,0.97294,0.00527
192,nausikaa,1.8743,0.98326,0.00561
192,nausikaa,1.8886,0.99299,0.00399
192,nausikaa,1.8992,0.99861,0.00431
192,nausikaa,1.9028,0.99744,0.00463
192,nausikaa,1.9063,1.00389,0.00478
192,nausikaa,1.9098,0.98521,0.00484
192,nausikaa,1.9133,0.98456,0.00461
192,nausikaa,1.9168,0.98347,0.00442
192,nausikaa,1.9204,0.98709,0.00419
192,nausikaa,1.9239,0.98895,0.00404
192,nausikaa,1.9273,0.97716,0.00382
